1,夏になると作られていそうな揚げ物はなんでしょうか？,エビフライ,カキフライ,さつま揚げ,から揚げ,1,「夏」は、「夏季（かき）」ともいうことができます。海産物の「牡蠣（カキ）」と同じ読み方をしますので、、【カキフライ】が正解です。
2,雨から守ってくれそうな生き物はなんでしょうか？,コウモリ,ゾウ,キリン,カマキリ,0,今、私たちが一般的に使っている傘は元々は海外からやってきたものです。日本に昔からある傘は「和傘」、海外からやって来た傘は「洋傘」と言われていますが、洋傘は広げた時の形がコウモリに似ていることから「蝙蝠傘（こうもりがさ）」とも呼ばれています。よって、【コウモリ】が正解です。
3,野球をしている虫はなんでしょうか？,コオロギ,アゲハチョウ,トノサマバッタ,クワガタムシ,2,野球の試合で攻撃側で打席に立った選手は、「バッター」と呼ばれます。「バッタ」と「バッター」は名前が似ていますね。よって、【トノサマバッタ】が正解です。
4,体の中からゴマが出てきました。どこから出てきたでしょうか？,目,鼻,口,おへそ,3,おへその中に溜まってしまったゴミや垢を「へそのゴマ」といいます。よって、【おへそ】が正解です。
5,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,3,カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。
6,海の生き物たちがレースをしています。それを学校の先生たちが応援しました。イカを応援していたのはどの教科の先生でしょうか？,体育,国語,家庭科,図工,2,イカが勝つように応援しています。つまり、【 勝てイカ！　→　かていか　→　家庭科 】。よって、【家庭科】が正解です。
7,動物たちが待ち合わせをしています。しかし1匹だけどんなに待っても来ませんでした。どの動物がこなかったでしょうか？,キツネ,タヌキ,ネコ,ウシ,0,キツネの鳴き声は、昔から「コンコン」だと言われてきました。【 コンコン　→　来ん来ん 】となるので、来なかったのは【キツネ】です。
8,古ければ古いほど若いものはなんでしょうか？,写真,冷蔵庫,看板,タイヤ,0,写真は昔に撮ったものほど若い頃のものなので、映っているのは今の自分よりも若い時分です。よって、【写真】が正解です。
9,かけてもかけても数が増えないけどとても役に立つものはなんでしょうか？,フライパン,眼鏡,乾電池,スニーカー,1,眼鏡はかけて使うものです。掛け算はかけるほど数が増えますが、眼鏡はどんなにかけても数は増えません。よって、【眼鏡】が正解です。
10,服のセンスが良くない人が乗っている乗り物はなんでしょうか？,新幹線,潜水艦,ロケット,自転車,1,「センスが良くない」ので…【センスいかん　→　せんすいかん　→　潜水艦】となるので、【潜水艦】が正解です。
11,引けば引くほどためになるものはなんでしょうか？,釣り糸,髪の毛,セーター,辞書,3,辞書で調べものをすることを「辞書を引く」といいます。実際に引っぱっているわけではありませんので、【辞書】が正解です。
12,走るための場所じゃないのに来た人が走っていそうな場所はなんでしょうか？,ボウリング場,コインランドリー,スーパー,コンビニ,1,「走る」は、英語で「ラン」といいます。「コインランドリー」には「ラン」という文字が入っているため、【コインランドリー】が正解です。
13,泳ぎが上手な生き物はなんでしょうか？,イルカ,サメ,エイ,マグロ,1,有名なサメ映画に「ジョーズ」というものがあります。「ジョーズ」と「上手（じょうず）」は、なんだか似た言葉ですね。よって、【サメ】が正解です。
14,体を洗っていない人から出てくる色はなんでしょうか？,赤,青,緑,黒,0,人の体についた汚れのことを「垢（あか）」といいます。色の「赤（あか）」と同じ読みをするので、【赤色】が正解です。
15,次のうち食べ損ねたらとてもショックなものはなんでしょうか？,朝ご飯,昼ご飯,おやつ,夜ご飯,0,「朝ご飯」は、「朝食（ちょうしょく）」ともいいます。【ちょうしょく　→　ちょうしょっく（超ショック）】となるので、【朝ご飯】が正解です。
16,ハト・スズメ・カラスが一緒にダンスを踊っています。それはなんでしょうか？,タップダンス,盆踊り,サンバ,フラダンス,2,問題に出てきた鳥はハト・スズメ・カラスの三羽（さんば）です。よって、【サンバ】が正解です。
17,車を停めるのが上手いのは誰でしょうか？,医者,家庭教師,漁師,車掌,0,車を停めることを「駐車（ちゅうしゃ）」といいます。この選択肢の中で「注射（ちゅうしゃ）」ができるのは、医者だけです。よって、【医者】が正解です。
18,「ッ」を足すと帽子に変身した生き物はなんでしょうか？,クジラ,ハト,アリ,ライオン,1,帽子は英語で、「ハット」といいます。ハトの真ん中に「ッ」を足すと「ハット」になります。よって、【ハト】が正解です。
19,怖い話をするのにぴったりな場所はどこでしょうか？,体育館,図書館,階段,交差点,2,怖い話のことを「怪談（かいだん）」といいます。「怪談」も「階段」も「かいだん」と読むので、【階段】が正解です。
20,ついさっきまで元気だった人が重い病気にかかりました。重い病気になるまでにかかった時間はどれでしょうか？,5時間,40分,3分,10秒,3,重い病気は、「重病（じゅうびょう）」といいます。「重病」も「10秒」も「じゅうびょう」と読むので、【10秒】が正解です。