0,夏になると作られていそうな揚げ物はなんでしょうか？,エビフライ,カキフライ,さつま揚げ,から揚げ,カキフライ,"「夏」は、「夏季（かき）」ともいうことができます。海産物の「牡蠣（カキ）」と同じ読み方をしますので、、【カキフライ】が正解です。"
1,雨から守ってくれそうな生き物はなんでしょうか？,コウモリ,ゾウ,キリン,カマキリ,コウモリ,"今、私たちが一般的に使っている傘は元々は海外からやってきたものです。日本に昔からある傘は「和傘」、海外からやって来た傘は「洋傘」と言われていますが、洋傘は広げた時の形がコウモリに似ていることから「蝙蝠傘（こうもりがさ）」とも呼ばれています。よって、【コウモリ】が正解です。"
2,野球をしている虫はなんでしょうか？,コオロギ,アゲハチョウ,トノサマバッタ,クワガタムシ,トノサマバッタ,"野球の試合で攻撃側で打席に立った選手は、「バッター」と呼ばれます。「バッタ」と「バッター」は名前が似ていますね。よって、【トノサマバッタ】が正解です。"
3,体の中からゴマが出てきました。どこから出てきたでしょうか？,目,鼻,口,おへそ,おへそ,"おへその中に溜まってしまったゴミや垢を「へそのゴマ」といいます。よって、【おへそ】が正解です。"
4,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
5,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
6,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
7,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
8,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
9,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
10,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
11,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
12,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
13,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
14,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
15,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
16,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
17,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
18,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"
19,4匹の魚が勝負をしました。勝ったのは誰でしょうか？,マグロ,トビウオ,ウナギ,カツオ,カツオ,"カツオは名前に「カツ（勝つ）」と入っています。よって、【カツオ】が正解です。"